Location Name
"Clementi MRT, Singapore"
"Clementi Mall, Singapore"
"Clementi Central Market, Singapore"
"National University of Singapore, Science Faculty"
"NUS Business School, Singapore"
"NUS Faculty of Engineering, Singapore"
"Singapore Polytechnic, Mech and Aero Engineering, Singapore"
"JEM, Singapore"
"Star Vista, Singapore"
"Darussalam Mosque, Clementi, Singapore"
"Church of the Holy Cross, Clementi, Singapore"
"EW Cinema - Clementi, Singapore"
"Jurong East MRT, Singapore"
"Dover MRT, Singapore"
"NUS Kent Ridge Hall, Singapore"
"Utown, Singapore"
"IMM Jurong East, Singapore"
"Clementi Stadium, Singapore"
"Clementi Interchange, Singapore"
"Jurong East Interchange, Singapore"
"Jurong East Library, Singapore"
"Fairfield Methodist, Singapore"
"ACS International, Singapore"
"United World College SEA, Singapore"
"Toh Guan Dormitory, Singapore"
"Holland Village, Singapore"
"Metropolis, Bouna Vista, Singapore"
"Creative Technology Building, Singapore"
"Galaxis, One North, Singapore"
"Shopee Building, Singapore"
"Nationa University Hospital, Singapore"
"Ng Teng Fong General Hospital, Singapore"
"West Coast Park, Singapore"
"Labrador Park, Singapore"
"Chinese Garden, Singapore"
"Singapore Botanic Gardens, Singapore"
